Dataset,RunID,Masking,Build,Chance,RunTime,SeqNum,UPNum,AANum,MotNum,Rank,Sig,Pattern,IC,Occ,Support,UP,ExpUP,Prob,Cloud,CloudSeq,CloudUP
P06461_P21964,2020-05-22,FreqConsDisComp-5-8,Ql5w2o2a3,QSig,00:00:49,43,28,3980,0,0,0.1,-,,,,,,,,,
P06461_P21964,2020-05-22,FreqConsDisComp-5-8,Ql5w2o2a3,QSig,00:00:02,43,28,3980,0,0,0.1,-,,,,,,,,,
Dataset,RunID,Masking,Build,Chance,RunTime,SeqNum,UPNum,AANum,MotNum,Rank,Sig,Pattern,IC,Occ,Support,UP,ExpUP,Prob,Cloud,CloudSeq,CloudUP
P0CK58_Q8IUD2,2020-05-22,FreqConsDisComp-5-8,Ql5w2o2a3,QSig,00:00:57,12,6,9129,0,0,0.1,-,,,,,,,,,
Dataset,RunID,Masking,Build,Chance,RunTime,SeqNum,UPNum,AANum,MotNum,Rank,Sig,Pattern,IC,Occ,Support,UP,ExpUP,Prob,Cloud,CloudSeq,CloudUP
P27958_Q8NEG0,2020-05-22,FreqConsDisComp-5-8,Ql5w2o2a3,QSig,00:00:41,18,7,2639,0,0,0.1,-,,,,,,,,,
Dataset,RunID,Masking,Build,Chance,RunTime,SeqNum,UPNum,AANum,MotNum,Rank,Sig,Pattern,IC,Occ,Support,UP,ExpUP,Prob,Cloud,CloudSeq,CloudUP
Q9WMX2_Q6P1W5,2020-05-22,FreqConsDisComp-5-8,Ql5w2o2a3,QSig,00:08:15,63,35,17547,0,0,0.1,-,,,,,,,,,
Dataset,RunID,Masking,Build,Chance,RunTime,SeqNum,UPNum,AANum,MotNum,Rank,Sig,Pattern,IC,Occ,Support,UP,ExpUP,Prob,Cloud,CloudSeq,CloudUP
A0A142I5B9_P52701,2020-05-22,FreqConsDisComp-5-8,Ql5w2o2a3,QSig,00:02:05,5,5,2949,0,0,0.1,-,,,,,,,,,
Dataset,RunID,Masking,Build,Chance,RunTime,SeqNum,UPNum,AANum,MotNum,Rank,Sig,Pattern,IC,Occ,Support,UP,ExpUP,Prob,Cloud,CloudSeq,CloudUP
P0C6X7_Q9Y2D1,2020-05-22,FreqConsDisComp-5-8,Ql5w2o2a3,QSig,00:00:51,6,6,3078,0,0,0.1,-,,,,,,,,,
Dataset,RunID,Masking,Build,Chance,RunTime,SeqNum,UPNum,AANum,MotNum,Rank,Sig,Pattern,IC,Occ,Support,UP,ExpUP,Prob,Cloud,CloudSeq,CloudUP
Q9WMB5_Q13362,2020-05-22,FreqConsDisComp-5-8,Ql5w2o2a3,QSig,00:00:25,10,9,2174,0,0,0.1,-,,,,,,,,,
Dataset,RunID,Masking,Build,Chance,RunTime,SeqNum,UPNum,AANum,MotNum,Rank,Sig,Pattern,IC,Occ,Support,UP,ExpUP,Prob,Cloud,CloudSeq,CloudUP
P03179_Q9BQB6,2020-05-22,FreqConsDisComp-5-8,Ql5w2o2a3,QSig,00:01:35,15,15,3316,0,0,0.1,-,,,,,,,,,
Dataset,RunID,Masking,Build,Chance,RunTime,SeqNum,UPNum,AANum,MotNum,Rank,Sig,Pattern,IC,Occ,Support,UP,ExpUP,Prob,Cloud,CloudSeq,CloudUP
P03466_O60812,2020-05-22,FreqConsDisComp-5-8,Ql5w2o2a3,QSig,00:01:27,12,8,3467,0,0,0.1,-,,,,,,,,,
Dataset,RunID,Masking,Build,Chance,RunTime,SeqNum,UPNum,AANum,MotNum,Rank,Sig,Pattern,IC,Occ,Support,UP,ExpUP,Prob,Cloud,CloudSeq,CloudUP
P09613_P55060,2020-05-22,FreqConsDisComp-5-8,Ql5w2o2a3,QSig,00:00:44,14,14,3400,0,0,0.1,-,,,,,,,,,
Dataset,RunID,Masking,Build,Chance,RunTime,SeqNum,UPNum,AANum,MotNum,Rank,Sig,Pattern,IC,Occ,Support,UP,ExpUP,Prob,Cloud,CloudSeq,CloudUP
P03120_P22314,2020-05-22,FreqConsDisComp-5-8,Ql5w2o2a3,QSig,00:00:40,18,16,4138,0,0,0.1,-,,,,,,,,,
Dataset,RunID,Masking,Build,Chance,RunTime,SeqNum,UPNum,AANum,MotNum,Rank,Sig,Pattern,IC,Occ,Support,UP,ExpUP,Prob,Cloud,CloudSeq,CloudUP
P29991_Q5JTC6,2020-05-22,FreqConsDisComp-5-8,Ql5w2o2a3,QSig,00:02:22,7,5,6215,0,0,0.1,-,,,,,,,,,
Dataset,RunID,Masking,Build,Chance,RunTime,SeqNum,UPNum,AANum,MotNum,Rank,Sig,Pattern,IC,Occ,Support,UP,ExpUP,Prob,Cloud,CloudSeq,CloudUP
A0A142I5B9_Q9UM00,2020-05-22,FreqConsDisComp-5-8,Ql5w2o2a3,QSig,00:01:11,5,4,2934,0,0,0.1,-,,,,,,,,,
Dataset,RunID,Masking,Build,Chance,RunTime,SeqNum,UPNum,AANum,MotNum,Rank,Sig,Pattern,IC,Occ,Support,UP,ExpUP,Prob,Cloud,CloudSeq,CloudUP
C5E526_Q96A33,2020-05-22,FreqConsDisComp-5-8,Ql5w2o2a3,QSig,00:01:01,14,11,4727,0,0,0.1,-,,,,,,,,,
Dataset,RunID,Masking,Build,Chance,RunTime,SeqNum,UPNum,AANum,MotNum,Rank,Sig,Pattern,IC,Occ,Support,UP,ExpUP,Prob,Cloud,CloudSeq,CloudUP
A0A142I5B9_Q3ZCQ8,2020-05-22,FreqConsDisComp-5-8,Ql5w2o2a3,QSig,00:03:04,17,9,4991,0,0,0.1,-,,,,,,,,,
Dataset,RunID,Masking,Build,Chance,RunTime,SeqNum,UPNum,AANum,MotNum,Rank,Sig,Pattern,IC,Occ,Support,UP,ExpUP,Prob,Cloud,CloudSeq,CloudUP
P29991_Q14980,2020-05-22,FreqConsDisComp-5-8,Ql5w2o2a3,QSig,00:04:17,11,11,4489,0,0,0.1,-,,,,,,,,,
Dataset,RunID,Masking,Build,Chance,RunTime,SeqNum,UPNum,AANum,MotNum,Rank,Sig,Pattern,IC,Occ,Support,UP,ExpUP,Prob,Cloud,CloudSeq,CloudUP
